timestamp_ms,x,y,z
304497,0.24,0.43,0.00
304510,0.31,0.37,-0.12
304523,0.37,0.43,-0.12
304536,0.06,0.43,-0.12
304549,0.24,0.49,-0.06
304562,1.04,0.55,0.06
304574,1.22,0.55,0.00
304587,0.73,0.49,-0.12
304600,-0.24,0.43,-0.12
304613,-0.67,0.43,-0.18
304626,0.12,0.49,0.00
304639,0.24,0.43,0.06
304652,0.98,0.49,0.06
304665,0.98,0.43,0.00
304678,0.49,0.37,-0.06
304691,0.12,0.43,-0.06
304704,0.43,0.43,0.06
304717,0.55,0.49,0.18
304730,1.04,0.49,0.18
304743,1.22,0.55,0.18
304756,0.49,0.49,0.12
304769,0.67,0.49,0.12
304782,0.79,0.55,0.18
304795,0.67,0.49,0.24
304808,0.61,0.55,0.24
304820,1.65,0.55,0.24
304834,1.46,0.61,0.24
304847,-15.50,0.49,0.12
304860,-0.37,0.49,0.12
304873,1.04,0.67,0.31
304886,1.04,0.67,0.31
304900,0.43,0.67,0.18
304913,1.28,0.67,0.12
304927,1.16,0.67,0.12
304940,-0.79,0.43,-0.18
304954,0.00,0.49,-0.12
304966,0.73,0.49,-0.06
304979,0.06,0.43,0.00
304992,0.00,0.49,0.00
305005,0.24,0.55,0.00
305018,0.00,0.43,-0.06
305031,0.18,0.43,-0.06
305044,0.98,0.43,-0.12
305058,0.85,0.37,-0.12
305071,0.00,0.31,-0.12
305084,0.06,0.24,-0.12
305098,0.18,0.24,-0.18
305111,1.04,0.31,-0.18
305124,2.01,0.31,-0.18
305137,0.06,0.24,-0.24
305150,-0.43,0.24,-0.12
305162,1.04,0.31,-0.06
305176,1.16,0.31,-0.12
305188,0.37,0.24,-0.24
305202,-0.24,0.37,-0.06
